id,key,value,type
34940855,electrified,contact_line,regular
34940855,frequency,50,regular
34940855,gauge,1676,regular
34940855,layer,1,regular
34940855,name,Minto Bridge,regular
34940855,railway,rail,regular
34940855,voltage,25000,regular
34940943,building,train_station,regular
34940943,name,New Delhi Railway Station (Ajmeri Gate),regular
35152859,highway,residential,regular
35309053,alt_name,River Sahibi,regular
35309053,description,Channelised Storm Water Drain River,regular
35309053,name,Najafgarh Nala,regular
35309053,waterway,river,regular
35309053,wikipedia,en:Najafgarh drain,regular
36175651,waterway,drain,regular
36179170,waterway,riverbank,regular
36179171,waterway,canal,regular
36179172,waterway,drain,regular
36179173,waterway,canal,regular
36803066,waterway,drain,regular
